dataset_id,representation,contrast,estimate,ci_low,ci_high,valid_bootstrap
ds005540,de_ridge_base,prior_personalized_surface_auc,0.5290057492779665,0.3725797501941104,0.5690774291699803,1985
ds005540,de_ridge_base,prior_personalized_participant_change,0.20355097551998702,0.08804728028094955,0.25064802730503327,1985
ds005540,de_ridge_base,prior_personalized_stimulus_change,0.49070123722248665,0.334553321920428,0.5373913527901667,1985
ds005540,de_ridge_base,prior_personalized_joint_change,0.6327069705104013,0.4452982853072493,0.6771887237220668,1985
ds005540,de_ridge_base,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.07355823994591423,-0.0015350712817410583,1985
ds005540,de_ridge_base,combined_personalized_surface_auc,0.5198725467908357,0.36571603944212744,0.5606911064597233,1985
ds005540,de_ridge_base,combined_personalized_participant_change,0.17674314892204468,0.06526396610789911,0.23037284475444123,1985
ds005540,de_ridge_base,combined_personalized_stimulus_change,0.46499537415865283,0.3040603007883502,0.51366594194506,1985
ds005540,de_ridge_base,combined_personalized_joint_change,0.6037224135778754,0.40996735275993645,0.6582346891134446,1985
ds005540,de_ridge_base,combined_personalized_endpoint_interaction,-0.0380161095028222,-0.05832518346869602,0.02666001797683254,1985
ds005540,de_ridge_base,matched_eeg_added_surface_auc,-0.009133202487130862,-0.03395181888349947,0.0183225844371855,1985
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_ccc,-0.0068676623474821265,-0.033328457421941425,0.022054217364132888,1985
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_mae,0.004673720818471574,-0.0003610428611334579,0.009921476449843633,1985
ds005540,de_ridge_strong,prior_personalized_surface_auc,0.5290057492779665,0.3725797501941104,0.5690774291699803,1985
ds005540,de_ridge_strong,prior_personalized_participant_change,0.20355097551998702,0.08804728028094955,0.25064802730503327,1985
ds005540,de_ridge_strong,prior_personalized_stimulus_change,0.49070123722248665,0.334553321920428,0.5373913527901667,1985
ds005540,de_ridge_strong,prior_personalized_joint_change,0.6327069705104013,0.4452982853072493,0.6771887237220668,1985
ds005540,de_ridge_strong,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.07355823994591423,-0.0015350712817410583,1985
