dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,0,0,prior,-3.0732194575483232e-15,-1.714950987870467e-15,1.807240557004948e-15,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,prior_personalized,-3.0732194575483232e-15,-1.714950987870467e-15,1.807240557004948e-15,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,eeg_population,0.015759027475010824,-0.06377089763428272,0.0913794948309343,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,eeg_personalized,0.015759027475010824,-0.06377089763428272,0.0913794948309343,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,combined_population,0.01819748369989487,-0.05130048378509503,0.08799449273811963,1985,0.2201477911141821
ds005540,de_ridge_base,0,0,combined_personalized,0.01819748369989487,-0.05130048378509503,0.08799449273811963,1985,0.2201477911141821
ds005540,de_ridge_base,0,1,prior,0.3897076368081029,0.21089936494751568,0.46721821829334986,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,prior_personalized,0.3897076368081029,0.21089936494751568,0.46721821829334986,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,eeg_population,0.02535990013448732,-0.05551267896870187,0.10139517676609103,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,eeg_personalized,0.02535990013448732,-0.05551267896870187,0.10139517676609103,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,combined_population,0.3797838547972271,0.20508595476091318,0.4623997678991352,1985,0.24258470005488988
ds005540,de_ridge_base,0,1,combined_personalized,0.3797838547972271,0.20508595476091318,0.4623997678991352,1985,0.24258470005488988
ds005540,de_ridge_base,0,2,prior,0.44729263481390646,0.2799642259821634,0.5034015251322533,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,prior_personalized,0.44729263481390646,0.2799642259821634,0.5034015251322533,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,eeg_population,0.019950072383017325,-0.059974896019207365,0.09770573051622411,1985,0.22215386615243485
ds005540,de_ridge_base,0,2,eeg_personalized,0.019950072383017325,-0.059974896019207365,0.09770573051622411,1985,0.22215386615243485
ds005540,de_ridge_base,0,2,combined_population,0.44072046280461485,0.27057263965106093,0.4996621035961279,1985,0.19289488400931384
ds005540,de_ridge_base,0,2,combined_personalized,0.44072046280461485,0.27057263965106093,0.4996621035961279,1985,0.19289488400931384
ds005540,de_ridge_base,0,4,prior,0.472923249015021,0.3161273456568725,0.526904526475204,1985,0.16945006613756614
ds005540,de_ridge_base,0,4,prior_personalized,0.472923249015021,0.3161273456568725,0.526904526475204,1985,0.16945006613756614
ds005540,de_ridge_base,0,4,eeg_population,0.024785504312946422,-0.056602411780603185,0.10164280096687767,1985,0.2209799232375293
ds005540,de_ridge_base,0,4,eeg_personalized,0.024785504312946422,-0.056602411780603185,0.10164280096687767,1985,0.2209799232375293
ds005540,de_ridge_base,0,4,combined_population,0.466511774986916,0.3038087267153469,0.5239880535111635,1985,0.1805538836988818
