participants,stimuli,density,noise_sd,scenario,method,participant_dose,stimulus_dose,replicates,coverage,coverage_mc_low,coverage_mc_high,truth,bias,empirical_sd,mean_bootstrap_sd,bootstrap_bias,miss_below,miss_above,positive_rate,mean_width
8,6,0.25,0.5,independent_noise,basic,0,0,298,0.8825503355704698,0.8410361548512393,0.9143272763049861,0.0,0.004459679620021453,0.15526219912404543,0.18148322885724116,0.00350857192409985,0.05704697986577181,0.06040268456375839,0.06040268456375839,0.7102935804978873
8,6,0.25,0.5,independent_noise,basic,0,4,298,0.9295302013422819,0.89467774886693,0.9534496124312879,-0.06361033150224715,0.011834436673214332,0.12243857114691442,0.15814058231144615,0.012966105886063596,0.03355704697986577,0.03691275167785235,0.013422818791946308,0.6247369609766381
8,6,0.25,0.5,independent_noise,basic,4,0,298,0.959731543624161,0.9309441775912461,0.9768171387982525,-0.06422696440209569,0.0005406223633275313,0.12445035795052997,0.15984980984742228,0.011912129809214765,0.030201342281879196,0.010067114093959731,0.006711409395973154,0.6327938643338663
8,6,0.25,0.5,independent_noise,basic,4,4,298,0.9731543624161074,0.94792987313806,0.9863354232920082,-0.08253408867849599,0.002497167618874817,0.09738842559514506,0.14095759465929963,0.007661240564585557,0.016778523489932886,0.010067114093959731,0.0,0.5623729310164377
8,6,0.25,0.5,independent_noise,normal_t,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.004459679620021453,0.15526219912404543,0.18148322885724116,0.00350857192409985,0.0,0.0,0.0,0.986595558654769
8,6,0.25,0.5,independent_noise,normal_t,0,4,298,1.0,0.9872732565112067,0.9999999999999999,-0.06361033150224715,0.011834436673214332,0.12243857114691442,0.15814058231144615,0.012966105886063596,0.0,0.0,0.0,0.8601607488486542
8,6,0.25,0.5,independent_noise,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,-0.06422696440209569,0.0005406223633275313,0.12445035795052997,0.15984980984742228,0.011912129809214765,0.0,0.0,0.0,0.8689788903630948
8,6,0.25,0.5,independent_noise,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,-0.08253408867849599,0.002497167618874817,0.09738842559514506,0.14095759465929963,0.007661240564585557,0.0,0.0,0.0,0.7684607364230303
8,6,0.25,0.5,independent_noise,percentile,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.004459679620021453,0.15526219912404543,0.18148322885724116,0.00350857192409985,0.0,0.0,0.0,0.7102935804978873
8,6,0.25,0.5,independent_noise,percentile,0,4,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,-0.06361033150224715,0.011834436673214332,0.12243857114691442,0.15814058231144615,0.012966105886063596,0.0,0.003355704697986577,0.0,0.6247369609766381
8,6,0.25,0.5,independent_noise,percentile,4,0,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,-0.06422696440209569,0.0005406223633275313,0.12445035795052997,0.15984980984742228,0.011912129809214765,0.0,0.003355704697986577,0.0,0.6327938643338662
8,6,0.25,0.5,independent_noise,percentile,4,4,298,0.9932885906040269,0.9758637106425548,0.9981575558483672,-0.08253408867849599,0.002497167618874817,0.09738842559514506,0.14095759465929963,0.007661240564585557,0.0,0.006711409395973154,0.0,0.5623729310164377
8,6,0.25,0.5,labels_only,basic,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,basic,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,basic,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,basic,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,normal_t,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,normal_t,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,percentile,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,percentile,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,percentile,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,labels_only,percentile,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,0.5,participant_constant,basic,0,0,298,0.8590604026845637,0.8149713665109867,0.8940100995742423,0.4622641509433961,-0.06665162769534756,0.1618533782583495,0.18618281995442706,-0.08911369279492565,0.0436241610738255,0.09731543624161074,0.7986577181208053,0.7078829701219734
8,6,0.25,0.5,participant_constant,basic,0,4,298,0.8859060402684564,0.844793937119294,0.9171954890470738,0.24301378298708698,0.028527105948754787,0.14416225063946522,0.1710046961309038,-0.028009872862980723,0.03355704697986577,0.08053691275167785,0.41946308724832215,0.6719627000694036
8,6,0.25,0.5,participant_constant,basic,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-1.1642439436085954e-18,5.123069243666612e-17,1.0407691509930892e-16,-8.161653896920687e-20,0.0,0.0,0.0,2.7001187523940235e-16
8,6,0.25,0.5,participant_constant,basic,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-7.45116123909501e-19,8.512723408286396e-17,1.772697081746207e-16,-6.806904300458631e-19,0.0,0.0,0.0,4.566714852096266e-16
