dataset_id,representation,contrast,participant_dose,stimulus_dose,ccc_delta,ccc_ci_low,ccc_ci_high,valid_bootstrap,ccc_simultaneous_low,ccc_simultaneous_high,mae_delta,mae_ci_low,mae_ci_high
ds005540,de_ridge_base,eeg_added_population,0,0,0.018197483699897946,-0.08011079443750053,0.11650576183729643,1985,-0.053441318749571434,0.08983628614936733,0.008604111665807018,-0.009977976604653545,0.027186199936267582
ds005540,de_ridge_base,eeg_added_population,0,8,-0.007508379363935891,-0.09099428153485611,0.07597752280698433,1985,-0.07914718181340527,0.06413042308553349,0.010258850615616877,-0.0066641864189476395,0.027181887650181393
ds005540,de_ridge_base,eeg_added_population,8,0,0.018197483699897946,-0.08011079443750053,0.11650576183729643,1985,-0.053441318749571434,0.08983628614936733,0.008604111665807018,-0.009977976604653545,0.027186199936267582
ds005540,de_ridge_base,eeg_added_population,8,8,-0.007508379363935891,-0.09099428153485611,0.07597752280698433,1985,-0.07914718181340527,0.06413042308553349,0.010258850615616877,-0.0066641864189476395,0.027181887650181393
ds005540,de_ridge_base,eeg_added_matched_calibration,0,0,0.018197483699897946,-0.08011079443750053,0.11650576183729643,1985,-0.05462865903393349,0.09102362643372938,0.008604111665807018,-0.009977976604653545,0.027186199936267582
ds005540,de_ridge_base,eeg_added_matched_calibration,0,8,-0.007508379363935891,-0.09099428153485611,0.07597752280698433,1985,-0.08033452209776733,0.06531776336989555,0.010258850615616877,-0.0066641864189476395,0.027181887650181393
ds005540,de_ridge_base,eeg_added_matched_calibration,8,0,-0.008610342898044382,-0.07614988588081843,0.05892920008472967,1985,-0.08143648563187582,0.06421579983578705,0.0026851148613414866,-0.006142972311569144,0.011513202034252117
ds005540,de_ridge_base,eeg_added_matched_calibration,8,8,-0.010787073232627953,-0.056675042681092774,0.03510089621583687,1985,-0.08361321596645939,0.062039069501203484,0.0028551253693039624,-0.006380277376043464,0.012090528114651389
ds005540,de_ridge_base,prior_calibration_gain,0,0,0.0,0.0,0.0,1985,-0.1037004129863563,0.1037004129863563,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,0,8,0.0,0.0,0.0,1985,-0.1037004129863563,0.1037004129863563,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,8,0,0.20355097551998702,0.08686608804864614,0.3202358629913279,1985,0.09985056253363073,0.3072513885063433,-0.019993443667244842,-0.04462274817783514,0.004635860843345458
ds005540,de_ridge_base,prior_calibration_gain,8,8,0.14200573328791455,0.029578554276633903,0.2544329122991952,1985,0.038305320301558254,0.24570614627427084,-0.017825760202544838,-0.04171877696193126,0.006067256556841587
ds005540,de_ridge_base,combined_calibration_gain,0,0,0.0,0.0,0.0,1985,-0.10247059185195317,0.10247059185195317,0.0,0.0,0.0
ds005540,de_ridge_base,combined_calibration_gain,0,8,0.0,0.0,0.0,1985,-0.10247059185195317,0.10247059185195317,0.0,0.0,0.0
ds005540,de_ridge_base,combined_calibration_gain,8,0,0.17674314892204468,0.05757153911824929,0.29591475872584005,1985,0.0742725570700915,0.27921374077399785,-0.025912440471710374,-0.050158723597731325,-0.0016661573456894264
ds005540,de_ridge_base,combined_calibration_gain,8,8,0.1387270394192225,0.020998385841380127,0.25645569299706483,1985,0.03625644756726931,0.24119763127117566,-0.025229485448857752,-0.04845451703382335,-0.0020044538638921555
ds005540,de_ridge_base,total_minus_uncalibrated_prior,0,0,0.018197483699897946,-0.08011079443750053,0.11650576183729643,1985,-0.09083236191222184,0.12722732931201775,0.008604111665807018,-0.009977976604653545,0.027186199936267582
