seed,participant_dose,stimulus_dose,predictor,macro_ccc,macro_mae,dataset_id,representation
11,1,0,eeg_personalized,-0.3268313823504178,0.3537390698194865,ds002721,labram_pretrained
11,1,0,combined_population,0.1291387663141738,0.2845047388314188,ds002721,labram_pretrained
11,1,0,combined_personalized,-0.1366714311257287,0.4019466961796198,ds002721,labram_pretrained
11,1,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_random
11,1,0,eeg_population,0.0395617238130325,0.2698580903577199,ds002721,labram_random
11,1,0,eeg_personalized,-0.3191557090636355,0.3572947743898313,ds002721,labram_random
11,1,0,combined_population,0.1372142356105311,0.2914346569553762,ds002721,labram_random
11,1,0,combined_personalized,-0.1556463380248813,0.4152859526719452,ds002721,labram_random
11,1,1,prior,0.3048143520369955,0.2434210526315789,ds002721,bandpower
11,1,1,eeg_population,0.0133651807255272,0.2680215107771675,ds002721,bandpower
11,1,1,eeg_personalized,-0.3266182016121578,0.3631278773604806,ds002721,bandpower
11,1,1,combined_population,0.2924646616366813,0.25281751262547,ds002721,bandpower
11,1,1,combined_personalized,-0.0311239539119599,0.3945786658816675,ds002721,bandpower
11,1,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_pretrained
11,1,1,eeg_population,-0.0034120349220035,0.2692136068545737,ds002721,labram_pretrained
11,1,1,eeg_personalized,-0.3323201267519187,0.3553625533668104,ds002721,labram_pretrained
11,1,1,combined_population,0.3028389351261253,0.2493382968384898,ds002721,labram_pretrained
11,1,1,combined_personalized,-0.0090842979753944,0.3873941131567064,ds002721,labram_pretrained
11,1,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_random
11,1,1,eeg_population,0.0294898108433005,0.2721820387575075,ds002721,labram_random
11,1,1,eeg_personalized,-0.3255836840697128,0.3596767986516667,ds002721,labram_random
11,1,1,combined_population,0.3158683090296461,0.2490283523740709,ds002721,labram_random
11,1,1,combined_personalized,-0.0395017512441497,0.3972812843039205,ds002721,labram_random
11,1,2,prior,0.3097812643019378,0.2269736842105263,ds002721,bandpower
11,1,2,eeg_population,0.0140920220471505,0.2679992695301862,ds002721,bandpower
11,1,2,eeg_personalized,-0.3278660568470024,0.3635037323650263,ds002721,bandpower
