dataset_id,representation,predictor,zero_exposure_ccc,zero_exposure_ccc_sd,maximum_exposure_ccc,maximum_exposure_ccc_sd,uniform_cell_mean_ccc,normalized_surface_auc_ccc,normalized_surface_auc_ccc_sd,worst_cell_ccc,first_participant_trial_gain_ccc,first_stimulus_observation_gain_ccc,participant_half_gain_dose,stimulus_half_gain_dose,seed_count
ds002721,bandpower,combined_personalized,0.08032593120554322,0.0787641343066425,0.2987966036300936,0.17665283514445357,0.18409990871356996,0.21848108614092215,0.14389496140453928,0.08032593120554322,0.005721928941298429,0.03663841739700359,4.0,2.0,5
ds002721,bandpower,combined_population,0.08032593120554322,0.0787641343066425,0.1798987348573998,0.17634027722379209,0.1336197140533582,0.14324020284615818,0.15210929747413915,0.08032593120554322,0.0,0.03663841739700359,,2.0,5
ds002721,bandpower,eeg_personalized,0.008182853487138682,0.04690028624279973,0.11885329334170405,0.15574227558259557,0.09656218943148687,0.12706983055861085,0.2194077323046498,-0.0008807478944727612,0.0754255227893109,-0.004526409239127442,1.0,,5
ds002721,bandpower,eeg_population,0.008182853487138682,0.04690028624279973,-0.0008807478944727612,0.05942708011638535,0.004919857470256925,0.004987110789408407,0.05657595580082175,-0.0008807478944727612,0.0,-0.004526409239127442,,,5
ds002721,bandpower,prior,0.07076885585797198,0.08016054882791161,0.17401773141737537,0.1831635180998474,0.12617409449578176,0.13524919388438061,0.15897775223872182,0.07076885585797198,0.0,0.04577128388304501,,2.0,5
ds002721,labram_pretrained,combined_personalized,0.1025654246705688,0.06567056520595294,0.30702129698876746,0.16770781896151127,0.19809303539289383,0.23017521896077187,0.13744807294312805,0.1025654246705688,0.001228622306455554,0.02981010123156065,4.0,2.0,5
ds002721,labram_pretrained,combined_population,0.1025654246705688,0.06567056520595294,0.20852030853271467,0.1656776767863604,0.15347390259744598,0.16195751842417128,0.14234101648132264,0.1025654246705688,0.0,0.02981010123156065,,2.0,5
ds002721,labram_pretrained,eeg_personalized,0.04497808954000012,0.02878241394151157,0.1563197788073932,0.1728121611243802,0.12866064982960793,0.15794382236954116,0.23069132504700424,0.04030342710538788,0.06341585923710505,-0.0027224266051538368,1.0,,5
ds002721,labram_pretrained,eeg_population,0.04497808954000012,0.02878241394151157,0.04030342710538788,0.04449512990295831,0.04276229576688211,0.042579035010293864,0.036553489211841164,0.04030342710538788,0.0,-0.0027224266051538368,,,5
ds002721,labram_pretrained,prior,0.07076885585797198,0.08016054882791161,0.17401773141737537,0.1831635180998474,0.12617409449578176,0.13524919388438061,0.15897775223872182,0.07076885585797198,0.0,0.04577128388304501,,2.0,5
ds002721,labram_random,combined_personalized,0.08839337793215649,0.054993857868533995,0.29406425680934767,0.14055589653328562,0.17956498762389655,0.2156576672293773,0.1330749363105859,0.06312053513357971,-0.025272842798576778,0.03528618614033162,4.0,2.0,5
ds002721,labram_random,combined_population,0.08839337793215649,0.054993857868533995,0.18045511640778605,0.16802435526826,0.13793406023523452,0.1467859108097784,0.14326757487059935,0.08839337793215649,0.0,0.03528618614033162,,2.0,5
ds002721,labram_random,eeg_personalized,0.011002815660930358,0.04238468151150258,0.12195825052350177,0.1465954677818431,0.10106948305896143,0.13419169739638462,0.21822540144810593,0.00093211020962266,0.06938198126005246,-0.0039024610483873994,1.0,,5
ds002721,labram_random,eeg_population,0.011002815660930358,0.04238468151150258,0.00093211020962266,0.0438947031233889,0.008954356091439183,0.009676772119155484,0.043659755918701006,0.00093211020962266,0.0,-0.0039024610483873994,,,5
ds002721,labram_random,prior,0.07076885585797198,0.08016054882791161,0.17401773141737537,0.1831635180998474,0.12617409449578176,0.13524919388438061,0.15897775223872182,0.07076885585797198,0.0,0.04577128388304501,,2.0,5
ds003751,bandpower,combined_personalized,0.11335331955761499,0.15366185667371404,0.7240774432366879,0.16724457584656763,0.4446700993159124,0.449269205784322,0.1753275572905094,0.11335331955761499,0.1923715606181273,0.2557196670718712,1.0,2.0,4
ds003751,bandpower,combined_population,0.11335331955761499,0.15366185667371404,0.6613412405837518,0.15341215834989383,0.38125584892361764,0.3782101333500848,0.1343281755597029,0.11335331955761499,0.0,0.2557196670718712,,2.0,4
ds003751,bandpower,eeg_personalized,0.13220598689861704,0.08220186665172727,0.2974071657553609,0.28944762457283646,0.23950677880853755,0.2540924141575207,0.22511721721585556,0.1196768580680013,0.13745526741134298,0.02279753160053896,1.0,,4
ds003751,bandpower,eeg_population,0.13220598689861704,0.08220186665172727,0.11967685806800127,0.09159730961525096,0.13562878782192478,0.14047247049123257,0.09699648003842852,0.11967685806800127,0.0,0.02279753160053896,2.0,,4
ds003751,bandpower,prior,9.55082833437001e-33,1.5022900465047462e-32,0.6606912920389714,0.15157931118047774,0.3332760109565528,0.3347411934250863,0.12133297034782348,9.55082833437001e-33,0.0,0.33913674083068684,,1.0,4
ds005540,cbramod_pretrained,combined_personalized,-0.0034824415412911015,0.03854718664277748,0.5686464600501513,0.05383591151532381,0.37302927574530914,0.45627518419186697,0.038513198111729326,-0.0034824415412911015,0.12783830565925758,0.3035554945496769,1.0,1.0,5
ds005540,cbramod_pretrained,combined_population,-0.0034824415412911015,0.03854718664277748,0.45895871277954825,0.07436203227997858,0.30100354565184595,0.3723408498083529,0.024818110007020652,-0.0034824415412911015,0.0,0.3035554945496769,,1.0,5
ds005540,cbramod_pretrained,eeg_personalized,-0.011718556551118484,0.03913086408444758,0.15007144717149967,0.05097313966906774,0.10709098068258285,0.1336939655869511,0.04572526266484817,-0.01774870985063276,0.12799000168967725,0.0001504567005926865,1.0,,5
ds005540,cbramod_pretrained,eeg_population,-0.011718556551118484,0.03913086408444758,-0.01774870985063276,0.027681040200417804,-0.013529580453947341,-0.014167217742310681,0.03328668912819242,-0.01774870985063276,0.0,0.0001504567005926865,,,5
ds005540,cbramod_pretrained,prior,0.0,0.0,0.4809207257700794,0.07907233409572147,0.31754849775425653,0.39020456480991206,0.04497459836908736,0.0,0.0,0.31904680572274724,,1.0,5
ds005540,cbramod_random,combined_personalized,0.006905690185858999,0.020555550161665655,0.5840161014639842,0.04980784044613738,0.3837489286565335,0.46399180333572376,0.04414232092399296,0.006905690185858999,0.13581763491579416,0.31166733356867254,1.0,1.0,5
