case,origin,source,checker,expected_observable_status,observed_status,runtime_ms,blocked_checks
eegain_window_validation_fold1,native_function_on_three_marker_windows_per_real_trial,EEGain,elementary_split,block,block,1.4810999855399132,training_validation_trial_isolation
eegain_window_validation_fold1,native_function_on_three_marker_windows_per_real_trial,EEGain,resource_contract,block,block,2.035894081927836,training_validation_trial_isolation
eegain_subject_test_fold1,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,elementary_split,allow,allow,1.3976609334349632,
eegain_subject_test_fold1,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,resource_contract,allow,allow,2.0017119823023677,
libeer_matched_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,allow,allow,1.3779220171272755,
libeer_matched_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,allow,allow,2.1832409547641873,
libeer_unequal_calibration_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.358831999823451,
libeer_unequal_calibration_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.160025993362069,matched_calibration_trial_uids
libeer_unequal_population_labels_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3395819114521146,
libeer_unequal_population_labels_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.06120393704623,matched_population_label_trial_uids
libeer_different_evaluation_support_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3394019333645701,
libeer_different_evaluation_support_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.156239002943039,matched_evaluation_trial_uids
libeer_missing_provenance_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,unverifiable,allow,1.3611550675705075,
libeer_missing_provenance_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,unverifiable,unverifiable,1.361184986308217,
libeer_compound_fit_and_support_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3290259521454573,
libeer_compound_fit_and_support_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.168377977795899,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
libeer_selection_test_not_declared_as_validation_fold1,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.382657908834517,
libeer_selection_test_not_declared_as_validation_fold1,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.4184529902413487,model_selection_test_exclusion;subject_preprocessing_selection_holdout
eegain_matched_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,allow,allow,1.5852299984544516,
eegain_matched_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,allow,allow,2.298258012160659,
eegain_unequal_calibration_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.4102010754868388,
eegain_unequal_calibration_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.243553986772895,matched_calibration_trial_uids
eegain_unequal_population_labels_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.4564120210707188,
eegain_unequal_population_labels_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.1026970352977514,matched_population_label_trial_uids
eegain_different_evaluation_support_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.368137076497078,
eegain_different_evaluation_support_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2018690360710025,matched_evaluation_trial_uids
eegain_missing_provenance_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,unverifiable,allow,1.4411889715120196,
eegain_missing_provenance_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,unverifiable,unverifiable,1.4011969324201345,
eegain_compound_fit_and_support_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3657730305567384,
eegain_compound_fit_and_support_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.230152953416109,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
eegain_selection_test_not_declared_as_validation_fold1,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.4140369603410363,
eegain_selection_test_not_declared_as_validation_fold1,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.228660974651575,model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_no_validation_fold2,observed_pinned_source_control_flow,LibEER,elementary_split,block,block,1.3327610213309526,validation_test_trial_isolation;subject_holdout
libeer_no_validation_fold2,observed_pinned_source_control_flow,LibEER,resource_contract,block,block,1.6577219357714057,validation_test_trial_isolation;subject_holdout;model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_explicit_validation_fold2,observed_pinned_source_split,LibEER,elementary_split,allow,allow,1.382368034683168,
libeer_explicit_validation_fold2,observed_pinned_source_split,LibEER,resource_contract,allow,allow,1.7703650519251823,
eegain_window_validation_fold2,native_function_on_three_marker_windows_per_real_trial,EEGain,elementary_split,block,block,1.4634329127147794,training_validation_trial_isolation
eegain_window_validation_fold2,native_function_on_three_marker_windows_per_real_trial,EEGain,resource_contract,block,block,2.0805730018764734,training_validation_trial_isolation
eegain_subject_test_fold2,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,elementary_split,allow,allow,1.423761947080493,
eegain_subject_test_fold2,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,resource_contract,allow,allow,2.077838988043368,
libeer_matched_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,allow,allow,1.4504429418593645,
libeer_matched_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,allow,allow,2.192394924350083,
libeer_unequal_calibration_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.361244940198958,
libeer_unequal_calibration_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.21224594861269,matched_calibration_trial_uids
libeer_unequal_population_labels_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.35207106359303,
libeer_unequal_population_labels_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1069240756332874,matched_population_label_trial_uids
libeer_different_evaluation_support_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3736840337514877,
libeer_different_evaluation_support_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1818889072164893,matched_evaluation_trial_uids
libeer_missing_provenance_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,unverifiable,allow,1.3408639933913946,
libeer_missing_provenance_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,unverifiable,unverifiable,1.3307689223438501,
libeer_compound_fit_and_support_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3371979584917426,
libeer_compound_fit_and_support_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1571610122919083,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
