dataset_id,representation,contrast,estimate,ci_low,ci_high,valid_bootstrap
ds005540,eegnet_lr1e3,prior_personalized_surface_auc,0.33173979581321567,0.24652865374123467,0.41695093788519666,1985
ds005540,eegnet_lr1e3,prior_personalized_participant_change,0.20355097551998702,0.08686608804864614,0.3202358629913279,1985
ds005540,eegnet_lr1e3,prior_personalized_stimulus_change,0.49070123722248665,0.34749131213138207,0.6339111623135912,1985
ds005540,eegnet_lr1e3,prior_personalized_joint_change,0.6327069705104013,0.46887149106038034,0.7965424499604221,1985
ds005540,eegnet_lr1e3,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.112671270030258,-0.01041921443388688,1985
ds005540,eegnet_lr1e3,combined_personalized_surface_auc,0.3223603029865892,0.23690099434585485,0.4078196116273235,1985
ds005540,eegnet_lr1e3,combined_personalized_participant_change,0.21153042487085902,0.08967460579956708,0.33338624394215094,1985
ds005540,eegnet_lr1e3,combined_personalized_stimulus_change,0.49481860210569945,0.35214934249260144,0.6374878617187975,1985
ds005540,eegnet_lr1e3,combined_personalized_joint_change,0.6267810038789602,0.45301298909376,0.8005490186641604,1985
ds005540,eegnet_lr1e3,combined_personalized_endpoint_interaction,-0.07956802309759822,-0.1407265795618614,-0.018409466633335043,1985
ds005540,eegnet_lr1e3,matched_eeg_added_surface_auc,-0.009379492826626461,-0.029333520836844117,0.010574535183591194,1985
ds005540,eegnet_lr1e3,matched_eeg_added_uniform_mean_ccc,-0.009379492826626461,-0.029333520836844117,0.010574535183591194,1985
ds005540,eegnet_lr1e3,matched_eeg_added_uniform_mean_mae,0.0023145333550033814,-0.0018190388197532725,0.006448105529760035,1985
ds005540,eegnet_lr1e4,prior_personalized_surface_auc,0.33173979581321567,0.24652865374123467,0.41695093788519666,1985
ds005540,eegnet_lr1e4,prior_personalized_participant_change,0.20355097551998702,0.08686608804864614,0.3202358629913279,1985
ds005540,eegnet_lr1e4,prior_personalized_stimulus_change,0.49070123722248665,0.34749131213138207,0.6339111623135912,1985
ds005540,eegnet_lr1e4,prior_personalized_joint_change,0.6327069705104013,0.46887149106038034,0.7965424499604221,1985
ds005540,eegnet_lr1e4,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.112671270030258,-0.01041921443388688,1985
ds005540,eegnet_lr1e4,combined_personalized_surface_auc,0.32997817528965434,0.2443246270149706,0.4156317235643381,1985
ds005540,eegnet_lr1e4,combined_personalized_participant_change,0.20770957547652805,0.08884945965010867,0.32656969130294744,1985
ds005540,eegnet_lr1e4,combined_personalized_stimulus_change,0.4899991781522954,0.3464226494014957,0.6335757069030951,1985
ds005540,eegnet_lr1e4,combined_personalized_joint_change,0.6357989300026148,0.47084724848522996,0.8007506115199996,1985
ds005540,eegnet_lr1e4,combined_personalized_endpoint_interaction,-0.0619098236262086,-0.1134017087511806,-0.01041793850123661,1985
ds005540,eegnet_lr1e4,matched_eeg_added_surface_auc,-0.0017616205235612894,-0.00827409133454561,0.0047508502874230325,1985
ds005540,eegnet_lr1e4,matched_eeg_added_uniform_mean_ccc,-0.0017616205235612894,-0.00827409133454561,0.0047508502874230325,1985
ds005540,eegnet_lr1e4,matched_eeg_added_uniform_mean_mae,0.0003029737853522396,-0.0008315405843497613,0.0014374881550542405,1985
ds006850,eegnet_lr1e3,prior_personalized_surface_auc,0.22883925141587586,0.14266819090008348,0.31501031193166823,2000
ds006850,eegnet_lr1e3,prior_personalized_participant_change,0.15644082287592032,0.022793951448300126,0.29008769430354053,2000
ds006850,eegnet_lr1e3,prior_personalized_stimulus_change,0.3407733032215749,0.18539110531081401,0.49615550113233575,2000
ds006850,eegnet_lr1e3,prior_personalized_joint_change,0.4181428795660108,0.2619179161162164,0.5743678430158052,2000
ds006850,eegnet_lr1e3,prior_personalized_endpoint_interaction,-0.0790712465314844,-0.1248722102819575,-0.0332702827810113,2000
ds006850,eegnet_lr1e3,combined_personalized_surface_auc,0.24225222829386434,0.15061088086083224,0.33389357572689643,2000
ds006850,eegnet_lr1e3,combined_personalized_participant_change,0.15165299715590577,0.01767102754834185,0.28563496676346967,2000
ds006850,eegnet_lr1e3,combined_personalized_stimulus_change,0.3345049409667192,0.17808192252656385,0.4909279594068745,2000
ds006850,eegnet_lr1e3,combined_personalized_joint_change,0.4114424062467308,0.25385643707262956,0.5690283754208321,2000
ds006850,eegnet_lr1e3,combined_personalized_endpoint_interaction,-0.07471553187589416,-0.12182344446933202,-0.0276076192824563,2000
ds006850,eegnet_lr1e3,matched_eeg_added_surface_auc,0.013412976877988526,-0.0183529213250045,0.04517887508098155,2000
ds006850,eegnet_lr1e3,matched_eeg_added_uniform_mean_ccc,0.013412976877988526,-0.0183529213250045,0.04517887508098155,2000
ds006850,eegnet_lr1e3,matched_eeg_added_uniform_mean_mae,-0.00013844989885435088,-0.003849938498809263,0.003573038701100561,2000
ds006850,eegnet_lr1e4,prior_personalized_surface_auc,0.22883925141587586,0.14266819090008348,0.31501031193166823,2000
ds006850,eegnet_lr1e4,prior_personalized_participant_change,0.15644082287592032,0.022793951448300126,0.29008769430354053,2000
ds006850,eegnet_lr1e4,prior_personalized_stimulus_change,0.3407733032215749,0.18539110531081401,0.49615550113233575,2000
ds006850,eegnet_lr1e4,prior_personalized_joint_change,0.4181428795660108,0.2619179161162164,0.5743678430158052,2000
ds006850,eegnet_lr1e4,prior_personalized_endpoint_interaction,-0.0790712465314844,-0.1248722102819575,-0.0332702827810113,2000
ds006850,eegnet_lr1e4,combined_personalized_surface_auc,0.2301261314482354,0.1440299059446022,0.3162223569518686,2000
ds006850,eegnet_lr1e4,combined_personalized_participant_change,0.1553306749198077,0.02164377785418964,0.28901757198542577,2000
ds006850,eegnet_lr1e4,combined_personalized_stimulus_change,0.3377669851757934,0.18177690946745992,0.49375706088412685,2000
ds006850,eegnet_lr1e4,combined_personalized_joint_change,0.4141907466892848,0.25740384765438895,0.5709776457241806,2000
ds006850,eegnet_lr1e4,combined_personalized_endpoint_interaction,-0.07890691340631632,-0.12478423414094876,-0.033029592671683886,2000
ds006850,eegnet_lr1e4,matched_eeg_added_surface_auc,0.0012868800323595805,-0.006636928656038585,0.009210688720757747,2000
ds006850,eegnet_lr1e4,matched_eeg_added_uniform_mean_ccc,0.0012868800323595805,-0.006636928656038585,0.009210688720757747,2000
ds006850,eegnet_lr1e4,matched_eeg_added_uniform_mean_mae,-0.00021527471427985195,-0.0013128042807008995,0.0008822548521411956,2000
