dataset_id,representation,contrast,estimate,ci_low,ci_high,valid_bootstrap
ds005540,de_ridge_base,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,de_ridge_base,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,de_ridge_base,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,de_ridge_base,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,de_ridge_base,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,de_ridge_base,combined_personalized_surface_auc,0.4682774707326567,0.31176871878143575,0.6247862226838776,1986
ds005540,de_ridge_base,combined_personalized_participant_change,0.10443740682064087,-0.020395123923866276,0.22926993756514802,1986
ds005540,de_ridge_base,combined_personalized_stimulus_change,0.4851063627243511,0.3313392510042382,0.638873474444464,1986
ds005540,de_ridge_base,combined_personalized_joint_change,0.5324872116857432,0.3394477656630798,0.7255266577084065,1986
ds005540,de_ridge_base,combined_personalized_endpoint_interaction,-0.05705655785924881,-0.1200028499677242,0.0058897342492265845,1986
ds005540,de_ridge_base,matched_eeg_added_surface_auc,-0.00399912515561916,-0.04626291077319869,0.038264660461960365,1986
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_ccc,-0.00170754581172366,-0.044917683018498,0.041502591395050685,1986
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_mae,0.005961691158954237,-0.0031767009527426046,0.015100083270651078,1986
ds005540,de_ridge_strong,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,de_ridge_strong,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,de_ridge_strong,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,de_ridge_strong,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,de_ridge_strong,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,de_ridge_strong,combined_personalized_surface_auc,0.4687125409594389,0.3117115406513625,0.6257135412675152,1986
ds005540,de_ridge_strong,combined_personalized_participant_change,0.11423436956671776,-0.012640835470155848,0.24110957460359136,1986
ds005540,de_ridge_strong,combined_personalized_stimulus_change,0.47791476159772484,0.3190006282910511,0.6368288949043985,1986
ds005540,de_ridge_strong,combined_personalized_joint_change,0.5394323639448987,0.34640829495915854,0.7324564329306389,1986
ds005540,de_ridge_strong,combined_personalized_endpoint_interaction,-0.05271676721954388,-0.12092217765351822,0.015488643214430456,1986
ds005540,de_ridge_strong,matched_eeg_added_surface_auc,-0.0035640549288369497,-0.03898769358884499,0.03185958373117109,1986
ds005540,de_ridge_strong,matched_eeg_added_uniform_mean_ccc,-0.0018220405493266573,-0.03982593368885847,0.036181852590205156,1986
ds005540,de_ridge_strong,matched_eeg_added_uniform_mean_mae,0.004502879916594055,-0.003356862171384919,0.01236262200457303,1986
ds005540,eegnet_lr1e3,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,eegnet_lr1e3,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,eegnet_lr1e3,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,eegnet_lr1e3,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,eegnet_lr1e3,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,eegnet_lr1e3,combined_personalized_surface_auc,0.4727641643879033,0.3205612898415706,0.624967038934236,1986
ds005540,eegnet_lr1e3,combined_personalized_participant_change,0.16414977987466298,0.03172184057821867,0.2965777191711073,1986
ds005540,eegnet_lr1e3,combined_personalized_stimulus_change,0.5002702952325663,0.35264230736626756,0.647898283098865,1986
ds005540,eegnet_lr1e3,combined_personalized_joint_change,0.588432967370189,0.4045246239219835,0.7723413108183945,1986
ds005540,eegnet_lr1e3,combined_personalized_endpoint_interaction,-0.07598710773704025,-0.13633743727420933,-0.015636778199871165,1986
ds005540,eegnet_lr1e3,matched_eeg_added_surface_auc,0.0004875684996274625,-0.004621033563129292,0.0055961705623842175,1986
ds005540,eegnet_lr1e3,matched_eeg_added_uniform_mean_ccc,0.0004794549402273146,-0.004827209028605107,0.005786118909059735,1986
ds005540,eegnet_lr1e3,matched_eeg_added_uniform_mean_mae,0.0001483812538435414,-0.0009239401563418293,0.001220702664028912,1986
ds005540,eegnet_lr1e4,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,eegnet_lr1e4,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,eegnet_lr1e4,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,eegnet_lr1e4,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,eegnet_lr1e4,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,eegnet_lr1e4,combined_personalized_surface_auc,0.47309361634149094,0.3202487018381091,0.6259385308448728,1986
ds005540,eegnet_lr1e4,combined_personalized_participant_change,0.16028623027851147,0.02834333934585742,0.2922291212111655,1986
ds005540,eegnet_lr1e4,combined_personalized_stimulus_change,0.4951506881879143,0.3490545650466874,0.6412468113291412,1986
ds005540,eegnet_lr1e4,combined_personalized_joint_change,0.5823654218621511,0.3996082885536487,0.7651225551706535,1986
ds005540,eegnet_lr1e4,combined_personalized_endpoint_interaction,-0.07307149660427464,-0.13470084737110494,-0.011442145837444337,1986
ds005540,eegnet_lr1e4,matched_eeg_added_surface_auc,0.000817020453215073,-0.0012983116622587603,0.0029323525686889063,1986
ds005540,eegnet_lr1e4,matched_eeg_added_uniform_mean_ccc,0.001442771638171093,-0.0013103754640488947,0.004195918740391081,1986
ds005540,eegnet_lr1e4,matched_eeg_added_uniform_mean_mae,-0.00012887904776607618,-0.0005574552664966586,0.0002996971709645062,1986
ds005540,labram_ridge_base,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,labram_ridge_base,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,labram_ridge_base,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,labram_ridge_base,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,labram_ridge_base,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,labram_ridge_base,combined_personalized_surface_auc,0.4486641070563742,0.29752696048615157,0.5998012536265969,1986
ds005540,labram_ridge_base,combined_personalized_participant_change,0.153126597190736,0.009939118008487985,0.296314076372984,1986
ds005540,labram_ridge_base,combined_personalized_stimulus_change,0.4623054053366334,0.29778274063499255,0.6268280700382742,1986
ds005540,labram_ridge_base,combined_personalized_joint_change,0.5532412778236706,0.3425717478928161,0.7639108077545251,1986
ds005540,labram_ridge_base,combined_personalized_endpoint_interaction,-0.06219072470369888,-0.12977055307011187,0.005389103662714098,1986
ds005540,labram_ridge_base,matched_eeg_added_surface_auc,-0.023612488831901614,-0.0782257771940688,0.031000799530265567,1986
ds005540,labram_ridge_base,matched_eeg_added_uniform_mean_ccc,-0.01858588725469752,-0.077559156509844,0.040387382000448974,1986
ds005540,labram_ridge_base,matched_eeg_added_uniform_mean_mae,0.011059231901755284,0.0007694595681865205,0.02134900423532405,1986
ds005540,labram_ridge_strong,prior_personalized_surface_auc,0.4722765958882758,0.3194309101853267,0.625122281591225,1986
ds005540,labram_ridge_strong,prior_personalized_participant_change,0.16339021787526942,0.031213197436145174,0.2955672383143937,1986
ds005540,labram_ridge_strong,prior_personalized_stimulus_change,0.5015786074933315,0.35526401990933343,0.6478931950773296,1986
ds005540,labram_ridge_strong,prior_personalized_joint_change,0.5889929825740448,0.4056880763071863,0.7722978888409032,1986
ds005540,labram_ridge_strong,prior_personalized_endpoint_interaction,-0.07597584279455617,-0.137057798014446,-0.01489388757466633,1986
ds005540,labram_ridge_strong,combined_personalized_surface_auc,0.4604934450070411,0.3080316220526826,0.6129552679613997,1986
ds005540,labram_ridge_strong,combined_personalized_participant_change,0.1644400476239152,0.02673541120880532,0.30214468403902506,1986
ds005540,labram_ridge_strong,combined_personalized_stimulus_change,0.4860502752633807,0.32709008639815795,0.6450104641286034,1986
ds005540,labram_ridge_strong,combined_personalized_joint_change,0.5790408959822311,0.3792448948274223,0.7788368971370399,1986
ds005540,labram_ridge_strong,combined_personalized_endpoint_interaction,-0.07144942690506478,-0.13446264312944028,-0.008436210680689268,1986
ds005540,labram_ridge_strong,matched_eeg_added_surface_auc,-0.011783150881234768,-0.04533693599969693,0.02177063423722739,1986
ds005540,labram_ridge_strong,matched_eeg_added_uniform_mean_ccc,-0.009946702707981182,-0.04575752882479948,0.025864123408837113,1986
ds005540,labram_ridge_strong,matched_eeg_added_uniform_mean_mae,0.004515535079326818,-0.001275314178908856,0.010306384337562492,1986
ds006850,bandpower_ridge_base,prior_personalized_surface_auc,0.34416663138925907,0.18404015523140507,0.5042931075471131,2000
ds006850,bandpower_ridge_base,prior_personalized_participant_change,0.12280578902511728,0.004745700151787824,0.24086587789844674,2000
ds006850,bandpower_ridge_base,prior_personalized_stimulus_change,0.36875225191204064,0.19457581931847254,0.5429286845056087,2000
ds006850,bandpower_ridge_base,prior_personalized_joint_change,0.4267106985362917,0.2608343666372612,0.5925870304353222,2000
ds006850,bandpower_ridge_base,prior_personalized_endpoint_interaction,-0.06484734240086626,-0.10856878500996758,-0.021125899791764942,2000
ds006850,bandpower_ridge_base,combined_personalized_surface_auc,0.34062574364047615,0.183984460488904,0.4972670267920483,2000
