dataset_id,representation,contrast,participant_dose,stimulus_dose,ccc_delta,ccc_ci_low,ccc_ci_high,valid_bootstrap,ccc_simultaneous_low,ccc_simultaneous_high,mae_delta,mae_ci_low,mae_ci_high
ds005540,de_ridge_base,eeg_added_population,0,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.029928349392864463,0.13661556281808993,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_population,0,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.0840949579686274,0.08244895424232698,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_population,0,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.07594391642384937,0.09059999578710501,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_population,0,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.05283579389615664,0.11370811831479774,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_population,0,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.046400594161844805,0.12014331804910958,0.00139034453681261,-0.017311158486885695,0.020091847560510915
ds005540,de_ridge_base,eeg_added_population,1,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.029928349392864463,0.13661556281808993,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_population,1,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.0840949579686274,0.08244895424232698,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_population,1,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.07594391642384937,0.09059999578710501,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_population,1,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.05283579389615664,0.11370811831479774,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_population,1,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.046400594161844805,0.12014331804910958,0.00139034453681261,-0.017311158486885695,0.020091847560510915
ds005540,de_ridge_base,eeg_added_population,2,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.029928349392864463,0.13661556281808993,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_population,2,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.0840949579686274,0.08244895424232698,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_population,2,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.07594391642384937,0.09059999578710501,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_population,2,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.05283579389615664,0.11370811831479774,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_population,2,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.046400594161844805,0.12014331804910958,0.00139034453681261,-0.017311158486885695,0.020091847560510915
ds005540,de_ridge_base,eeg_added_population,4,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.029928349392864463,0.13661556281808993,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_population,4,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.0840949579686274,0.08244895424232698,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_population,4,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.07594391642384937,0.09059999578710501,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_population,4,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.05283579389615664,0.11370811831479774,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_population,4,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.046400594161844805,0.12014331804910958,0.00139034453681261,-0.017311158486885695,0.020091847560510915
ds005540,de_ridge_base,eeg_added_population,8,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.029928349392864463,0.13661556281808993,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_population,8,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.0840949579686274,0.08244895424232698,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_population,8,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.07594391642384937,0.09059999578710501,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_population,8,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.05283579389615664,0.11370811831479774,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_population,8,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.046400594161844805,0.12014331804910958,0.00139034453681261,-0.017311158486885695,0.020091847560510915
ds005540,de_ridge_base,eeg_added_matched_calibration,0,0,0.05334360671261273,-0.05077256835377083,0.15745978177899628,1986,-0.03150992915064669,0.13819714257587215,0.0025255372506176876,-0.017479296148881905,0.02253037065011728
ds005540,de_ridge_base,eeg_added_matched_calibration,0,1,-0.0008230018631502078,-0.09193624345024705,0.09029023972394663,1986,-0.08567653772640962,0.08403053400010921,0.016598401635442073,-0.011721624663774164,0.044918427934658306
ds005540,de_ridge_base,eeg_added_matched_calibration,0,2,0.007328039681627818,-0.08110027711280707,0.0957563564760627,1986,-0.0775254961816316,0.09218157554488723,0.014094652425247323,-0.00964026517791566,0.03782957002841031
ds005540,de_ridge_base,eeg_added_matched_calibration,0,4,0.03043616220932055,-0.05228678753379176,0.11315911195243286,1986,-0.054417373653938866,0.11528969807257997,0.004638434489994098,-0.013073711462152516,0.02235058044214071
ds005540,de_ridge_base,eeg_added_matched_calibration,0,8,0.036871361943632386,-0.05787434263028904,0.1316170665175538,1986,-0.04798217391962703,0.1217248978068918,0.00139034453681261,-0.017311158486885695,0.020091847560510915
