dataset_id,representation,participant_dose,stimulus_dose,combined_personalized,combined_population,eeg_personalized,eeg_population,prior,prior_personalized,total,total_low,total_high,total_draws,calibration,calibration_low,calibration_high,calibration_draws,matched,matched_low,matched_high,matched_draws,arithmetic_error,configuration,total_t_low,total_t_high,calibration_t_low,calibration_t_high,matched_t_low,matched_t_high
ds005540,de_ridge_base,0,0,0.0181974836998948,0.0181974836998948,0.0157590274750108,0.0157590274750108,-3.0732194575483232e-15,-3.0732194575483232e-15,0.0181974836998979,-0.0513004837850952,0.0879944927381187,1985,0.0,0.0,0.0,1985,0.0181974836998979,-0.0513004837850952,0.0879944927381187,1985,0.0,Band-power R1,-0.0728215944729716,0.1092165618727675,0.0,0.0,-0.0728215944729716,0.1092165618727675
ds005540,de_ridge_base,0,1,0.3797838547972271,0.3797838547972271,0.0253599001344873,0.0253599001344873,0.3897076368081029,0.3897076368081029,-0.0099237820108757,-0.0459093149606017,0.0342777329898234,1985,0.0,0.0,0.0,1985,-0.0099237820108757,-0.0459093149606017,0.0342777329898234,1985,0.0,Band-power R1,-0.061809119412585,0.0419615553908335,0.0,0.0,-0.061809119412585,0.0419615553908335
ds005540,de_ridge_base,0,2,0.4407204628046148,0.4407204628046148,0.0199500723830173,0.0199500723830173,0.4472926348139064,0.4472926348139064,-0.0065721720092916,-0.0562570927311143,0.045442111677968,1985,0.0,0.0,0.0,1985,-0.0065721720092916,-0.0562570927311143,0.045442111677968,1985,0.0,Band-power R1,-0.073703397360618,0.0605590533420348,0.0,0.0,-0.073703397360618,0.0605590533420348
ds005540,de_ridge_base,0,4,0.466511774986916,0.466511774986916,0.0247855043129464,0.0247855043129464,0.472923249015021,0.472923249015021,-0.0064114740281049,-0.0644150956934626,0.0490812295045222,1985,0.0,0.0,0.0,1985,-0.0064114740281049,-0.0644150956934626,0.0490812295045222,1985,0.0,Band-power R1,-0.0814293475080032,0.0686063994517932,0.0,0.0,-0.0814293475080032,0.0686063994517932
ds005540,de_ridge_base,0,8,0.4831928578585477,0.4831928578585477,0.0210329625529261,0.0210329625529261,0.4907012372224836,0.4907012372224836,-0.0075083793639358,-0.0705995218743348,0.046551908946016,1985,0.0,0.0,0.0,1985,-0.0075083793639358,-0.0705995218743348,0.046551908946016,1985,0.0,Band-power R1,-0.0848041066414212,0.0697873479135495,0.0,0.0,-0.0848041066414212,0.0697873479135495
ds005540,de_ridge_base,1,0,0.1348556106415145,0.0181974836998948,0.122785501267889,0.0157590274750108,-3.0732194575483232e-15,0.1394240036727946,0.1348556106415176,0.0262104269176291,0.2178641117350578,1985,0.1394240036727977,0.0300555733499246,0.220531096193554,1985,-0.0045683930312801,-0.038002593008377,0.034396484413314,1985,6.071532165918825e-18,Band-power R1,0.0099133241723172,0.259797897110718,0.0130402488072538,0.2658077585383416,-0.0519796212789449,0.0428428352163846
ds005540,de_ridge_base,1,1,0.4079607145528983,0.3797838547972271,0.1281638700509002,0.0253599001344873,0.3897076368081029,0.409951189094022,0.0182530777447954,-0.0469892523424654,0.1056684948822707,1985,0.0202435522859191,-0.0438708033837024,0.1076566097950308,1985,-0.0019904745411237,-0.0239707150512075,0.0195627249149595,1985,-4.336808689942018e-19,Band-power R1,-0.0836832000512885,0.1201893555408793,-0.0817766255662795,0.1222637301381179,-0.0308578350036116,0.026876885921364
ds005540,de_ridge_base,1,2,0.44906579970845,0.4407204628046148,0.1285054782654241,0.0199500723830173,0.4472926348139064,0.4529887423733066,0.0017731648945435,-0.0758751393403485,0.1066812384283865,1985,0.0056961075594001,-0.0772000957914773,0.1147210204042904,1985,-0.0039229426648566,-0.0317256542884969,0.0238406559018385,1985,0.0,Band-power R1,-0.1163619778478538,0.1199083076369409,-0.1151704855348078,0.1265627006536082,-0.0400334707560405,0.0321875854263272
ds005540,de_ridge_base,1,4,0.4628223888722262,0.466511774986916,0.1303731576745626,0.0247855043129464,0.472923249015021,0.4734042218746855,-0.0101008601427947,-0.0903157212175153,0.0918092925083833,1985,0.0004809728596645,-0.0848439565228576,0.1070306485992108,1985,-0.0105818330024592,-0.0417186992390684,0.0199252455984566,1985,0.0,Band-power R1,-0.1304593143669071,0.1102575940813175,-0.1256658627926593,0.1266278085119884,-0.0515523976098493,0.0303887316049307
ds005540,de_ridge_base,1,8,0.4746062349687478,0.4831928578585477,0.1295511345264164,0.0210329625529261,0.4907012372224836,0.4855856648588942,-0.0160950022537357,-0.1044218177245111,0.0894136021150677,1985,-0.0051155723635893,-0.0982967960776867,0.106809779489393,1985,-0.0109794298901463,-0.0446548919610341,0.0231849181622689,1985,-1.0061396160665481e-16,Band-power R1,-0.1423972479488209,0.1102072434413493,-0.1383350883081938,0.1281039435810151,-0.0554528257877088,0.033493966007416
ds005540,de_ridge_base,2,0,0.1300298029994342,0.0181974836998948,0.1366453286083276,0.0157590274750108,-3.0732194575483232e-15,0.1363646402827018,0.1300298029994373,0.0205948046818219,0.202443532089749,1985,0.1363646402827049,0.0296228543223424,0.1999166613095842,1985,-0.0063348372832675,-0.0419560489031089,0.0370766943011031,1985,-8.586881206085195e-17,Band-power R1,0.0091230818477962,0.2509365241510785,0.0240093086602633,0.2487199719051465,-0.0589522762995888,0.0462826017330537
ds005540,de_ridge_base,2,1,0.435969427800303,0.3797838547972271,0.1426576997969212,0.0253599001344873,0.3897076368081029,0.4384746654153546,0.0462617909922001,-0.0167234416901672,0.1154306680718604,1985,0.0487670286072517,-0.0112573992459527,0.1114850972774106,1985,-0.0025052376150515,-0.0219506336401426,0.0217498985632309,1985,-1.0018028073766061e-16,Band-power R1,-0.039535462110607,0.1320590440950074,-0.0320844961787417,0.1296185533932451,-0.0315931300334391,0.026582654803336
