dataset_id,representation,participant_dose,stimulus_dose,combined_personalized,combined_population,eeg_personalized,eeg_population,prior,prior_personalized,total,total_low,total_high,total_draws,calibration,calibration_low,calibration_high,calibration_draws,matched,matched_low,matched_high,matched_draws,arithmetic_error,configuration,total_t_low,total_t_high,calibration_t_low,calibration_t_high,matched_t_low,matched_t_high,order
ds005540,de_ridge_base,8,8,0.6219198972777702,0.4831928578585477,0.1827681174346677,0.0210329625529261,0.4907012372224836,0.6327069705103981,0.1312186600552866,0.038741893803823,0.2011517256665851,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,-0.0107870732326279,-0.0428715115903442,0.0219251189138221,1985,3.469446951953614e-18,Band-power R1,0.0226970901381625,0.2397402299724106,0.0379146192020692,0.2460968473737598,-0.0532726172535152,0.0316984707882593,0
ds005540,de_ridge_strong,8,8,0.622467076042624,0.4778023180589491,0.186549333762572,0.0028733236756282,0.4907012372224836,0.6327069705103981,0.1317658388201403,0.0389012404651488,0.2027446957916776,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,-0.0102398944677741,-0.0402775674380534,0.0206359986964608,1985,-7.979727989493313e-17,Band-power R2,0.0248031318017229,0.2387285458385578,0.0379146192020692,0.2460968473737598,-0.0500223840076954,0.029542595072147,1
ds005540,labram_ridge_base,8,8,0.5868465723289671,0.4231835485975416,0.1726787106280317,-0.0430410785732634,0.4907012372224836,0.6327069705103981,0.0961453351064834,-0.0116127746980718,0.1757111376024262,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,-0.045860398181431,-0.1098041726417369,0.0139212484505372,1985,-9.020562075079397e-17,LaBraM R1,-0.0280123092565208,0.2203029794694878,0.0379146192020692,0.2460968473737598,-0.1259631485969766,0.0342423522341144,2
ds005540,labram_ridge_strong,8,8,0.6231609201132849,0.4634916475873898,0.1826852382009207,-0.0204650098385974,0.4907012372224836,0.6327069705103981,0.1324596828908013,0.0390230390941097,0.2027860633975934,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,-0.0095460503971132,-0.0419409463576399,0.0242870634955351,1985,-3.469446951953614e-18,LaBraM R2,0.0235262862488121,0.2413930795327905,0.0379146192020692,0.2460968473737598,-0.0532703100469634,0.034178209252737,3
ds005540,eegnet_lr1e3,8,8,0.6307208532493085,0.4827901225313707,0.1818709123660529,0.0019186794170957,0.4907012372224836,0.6327069705103981,0.1400196160268249,0.0520510747208774,0.2087145779138476,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,-0.0019861172610896,-0.0064993683441329,0.0027348513495329,1985,-3.903127820947816e-18,EEGNet L1,0.0355705529265,0.2444686791271497,0.0379146192020692,0.2460968473737598,-0.0081337690756738,0.0041615345534945,4
ds005540,eegnet_lr1e4,8,8,0.6327476148151502,0.4912029972755912,0.1820200524225605,-0.0006746942589774,0.4907012372224836,0.6327069705103981,0.1420463775926665,0.0553813361992281,0.210370191720804,1985,0.1420057332879145,0.0534080431971025,0.2101651661117794,1985,4.064430475203551e-05,-0.0039733810355248,0.004282991620325,1985,-2.7755575615628914e-17,EEGNet L2,0.0389232445243844,0.2451695106609487,0.0379146192020692,0.2460968473737598,-0.0053504094780509,0.005431698087555,5
ds006850,bandpower_ridge_base,8,8,0.404626973016658,0.3228569720474997,0.1500319661435551,0.0082787054979966,0.3407733032215742,0.4181428795660101,0.0638536697950837,-0.0242876915050096,0.1586802062092636,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,-0.0135159065493521,-0.0561009082170988,0.0361546171242952,2000,-1.1102230246251565e-16,Band-power R1,-0.0396482654975256,0.1673556050876931,-0.0123909031378424,0.1671300558267143,-0.0656421164821375,0.0386103033834332,0
ds006850,bandpower_ridge_strong,8,8,0.4050355567203801,0.3245796711362553,0.150577339897529,-0.0008398697905442,0.3407733032215742,0.4181428795660101,0.0642622534988059,-0.0202105995662327,0.150918235310521,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,-0.0131073228456299,-0.0397615050271107,0.019912490227515,2000,-1.0061396160665481e-16,Band-power R2,-0.0315341315631115,0.1600586385607234,-0.0123909031378424,0.1671300558267143,-0.0472780178606845,0.0210633721694246,1
ds006850,labram_ridge_base,8,8,0.399516220914634,0.3093755731312141,0.1483814174717034,-0.0162088976468122,0.3407733032215742,0.4181428795660101,0.0587429176930598,-0.0268065896206903,0.147554683133659,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,-0.018626658651376,-0.056278122752179,0.0126044672574515,2000,-1.0408340855860843e-16,LaBraM R1,-0.0423432039940889,0.1598290393802086,-0.0123909031378424,0.1671300558267143,-0.0593077096310215,0.0220543923282694,2
ds006850,labram_ridge_strong,8,8,0.4096316517148553,0.3260727239149362,0.1595220137310095,0.0045149950883806,0.3407733032215742,0.4181428795660101,0.0688583484932811,-0.0124313762517804,0.1541705232331395,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,-0.0085112278511548,-0.0373087993627818,0.0172182519886709,2000,-8.673617379884035e-18,LaBraM R2,-0.0277716965550497,0.1654883935416119,-0.0123909031378424,0.1671300558267143,-0.0407223303186689,0.0236998746163593,3
ds006850,eegnet_lr1e3,8,8,0.429242975492215,0.3576574964676767,0.1701598814246037,0.0189213262900528,0.3407733032215742,0.4181428795660101,0.0884696722706407,0.0058395315799464,0.1753928435297531,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,0.0111000959262048,-0.014686242778438,0.035981568433208,2000,-1.734723475976807e-18,EEGNet L1,-0.0080322472700847,0.1849715918113663,-0.0123909031378424,0.1671300558267143,-0.0165609124868534,0.0387611043392631,4
ds006850,eegnet_lr1e4,8,8,0.4259057560776625,0.3483556285448535,0.1621669271132877,0.0076503793020375,0.3407733032215742,0.4181428795660101,0.0851324528560883,0.0068445763856496,0.1676514593143638,2000,0.0773695763444359,0.0025881139430619,0.1580455921316929,2000,0.0077628765116524,-0.0064441485939088,0.0251921227572945,2000,-1.1275702593849246e-17,EEGNet L2,-0.0085196444948746,0.1787845502070513,-0.0123909031378424,0.1671300558267143,-0.0096584608650298,0.0251842138883346,5
