dataset_id,representation,contrast,participant_dose,stimulus_dose,ccc_delta,ccc_ci_low,ccc_ci_high,valid_bootstrap,ccc_simultaneous_low,ccc_simultaneous_high,mae_delta,mae_ci_low,mae_ci_high
ds005540,de_ridge_base,eeg_added_matched_calibration,0,0,0.0181974836998979,-0.0513004837850952,0.0879944927381187,1985,-0.0555120758289308,0.0919070432287267,0.008604111665807,-0.0041539492237793,0.0219825582624039
ds005540,de_ridge_base,eeg_added_matched_calibration,0,8,-0.0075083793639358,-0.0705995218743348,0.046551908946016,1985,-0.0812179388927647,0.0662011801648929,0.0102588506156168,-0.0011432951328337,0.0221885162060858
ds005540,de_ridge_base,eeg_added_matched_calibration,8,0,-0.0086103428980443,-0.04987399756325,0.0486525648612436,1985,-0.0823199024268732,0.0650992166307844,0.0026851148613414,-0.0033162183622947,0.0092846793182563
ds005540,de_ridge_base,eeg_added_matched_calibration,8,8,-0.0107870732326279,-0.0428715115903442,0.0219251189138221,1985,-0.0844966327614567,0.0629224862962008,0.0028551253693039,-0.0037917278671137,0.0093779500466729
ds005540,de_ridge_strong,eeg_added_matched_calibration,0,0,-0.0119441733715807,-0.063663215694179,0.051452387208984,1985,-0.0766152250035298,0.0527268782603682,0.0075098666713195,-0.0016216550276892,0.0166526058066406
ds005540,de_ridge_strong,eeg_added_matched_calibration,0,8,-0.0128989191635344,-0.0708942919188514,0.0391328967050391,1985,-0.0775699707954835,0.0517721324684145,0.0087737987502775,-0.0009761450584492,0.0198559957879619
ds005540,de_ridge_strong,eeg_added_matched_calibration,8,0,-0.010528276859123,-0.0468877277070327,0.0365096554749216,1985,-0.075199328491072,0.054142774772826,0.0020224494078764,-0.0034887778402128,0.0076696280821887
ds005540,de_ridge_strong,eeg_added_matched_calibration,8,8,-0.0102398944677741,-0.0402775674380534,0.0206359986964608,1985,-0.0749109460997232,0.0544311571641748,0.0028453142749749,-0.0028430865535279,0.0087447155064263
ds005540,eegnet_lr1e3,eeg_added_matched_calibration,0,0,-0.0004009960514744,-0.0132647611812013,0.0191672254952335,1985,-0.0244556744515305,0.0236536823485817,-0.0004399362609548,-0.0041387337579629,0.0031763854181758
ds005540,eegnet_lr1e3,eeg_added_matched_calibration,0,8,-0.0079111146911128,-0.0178102304055843,0.0077843389754196,1985,-0.031965793091169,0.0161435637089433,0.0015587906329208,-0.0026688417917632,0.0059430145318963
ds005540,eegnet_lr1e3,eeg_added_matched_calibration,8,0,0.0030024852551759,-0.0050150211952356,0.0093769160402772,1985,-0.0210521931448802,0.0270571636552321,-0.0005143310986496,-0.0020387218874188,0.0004803724924473
ds005540,eegnet_lr1e3,eeg_added_matched_calibration,8,8,-0.0019861172610896,-0.0064993683441329,0.0027348513495329,1985,-0.0260407956611458,0.0220685611389665,0.0003382076133368,-0.0006680455661718,0.0014856779294571
ds005540,eegnet_lr1e4,eeg_added_matched_calibration,0,0,9.451601949281832e-05,-0.0073609913223591,0.0074737040623202,1985,-0.0090770622865417,0.0092660943255274,-0.0001904627528817,-0.0014416369978428,0.0010614185295403
ds005540,eegnet_lr1e4,eeg_added_matched_calibration,0,8,0.0005017600531075,-0.0055412327739105,0.0062980537244773,1985,-0.008669818252927,0.0096733383591421,-0.0003836536332378,-0.0015519494076899,0.0008021910108523
ds005540,eegnet_lr1e4,eeg_added_matched_calibration,8,0,0.0005569928975092,-0.0054202430246417,0.0066018455004064,1985,-0.0086145854085253,0.0097285712035438,-7.273812871644303e-05,-0.0009311976672779,0.0008109862384267
ds005540,eegnet_lr1e4,eeg_added_matched_calibration,8,8,4.064430475203551e-05,-0.0039733810355248,0.004282991620325,1985,-0.0091309340012825,0.0092122226107866,0.0001366122450429,-0.0008295175945225,0.0012250915824376
ds005540,labram_ridge_base,eeg_added_matched_calibration,0,0,-0.0433216257368906,-0.1060387729206065,0.043335031255859,1985,-0.1371794543380862,0.050536202864305,0.0152162529010979,0.0015543617830386,0.0290071629394688
ds005540,labram_ridge_base,eeg_added_matched_calibration,0,8,-0.0675176886249419,-0.13715154891866,0.0110564216570045,1985,-0.1613755172261375,0.0263401399762536,0.0201170763475309,0.005803226114298,0.0348886035513157
ds005540,labram_ridge_base,eeg_added_matched_calibration,8,0,-0.0317899284284294,-0.0863546908143018,0.0410664906537241,1985,-0.1256477570296251,0.0620679001727661,0.0133156718839653,0.0030706452926992,0.0235005715150498
ds005540,labram_ridge_base,eeg_added_matched_calibration,8,8,-0.045860398181431,-0.1098041726417369,0.0139212484505372,1985,-0.1397182267826267,0.0479974304197645,0.0163648528780395,0.0038545146464299,0.0291317211538626
ds005540,labram_ridge_strong,eeg_added_matched_calibration,0,0,-0.0229245480472306,-0.0688045205828389,0.0381375750609519,1985,-0.0825226124258084,0.0366735163313471,0.0055805345724842,-0.0026555541911633,0.0139838781452708
ds005540,labram_ridge_strong,eeg_added_matched_calibration,0,8,-0.0272095896350937,-0.0725468575724204,0.0208253198822272,1985,-0.0868076540136715,0.0323884747434839,0.0077615569916341,-0.0002238551211106,0.0156531318167602
ds005540,labram_ridge_strong,eeg_added_matched_calibration,8,0,-0.0146780169824023,-0.0489483056063468,0.0292860397721049,1985,-0.0742760813609801,0.0449200473961753,0.0057729465489844,8.456830098707015e-05,0.01151194450629
ds005540,labram_ridge_strong,eeg_added_matched_calibration,8,8,-0.0095460503971132,-0.0419409463576399,0.0242870634955351,1985,-0.0691441147756909,0.0500520139814645,0.003539517732255,-0.0034791796609944,0.0101892820557031
ds006850,bandpower_ridge_base,eeg_added_matched_calibration,0,0,0.0080943167061407,-0.0630253420090942,0.0847323164030928,2000,-0.069647779654497,0.0858364130667784,0.0122452844846034,0.0014909855806426,0.0232005290226333
ds006850,bandpower_ridge_base,eeg_added_matched_calibration,0,8,-0.0179163311740749,-0.0768712074658568,0.0450133852381965,2000,-0.0956584275347126,0.0598257651865627,0.0100652163656975,-0.0009456403980136,0.0210208654952079
ds006850,bandpower_ridge_base,eeg_added_matched_calibration,8,0,-0.0047321961247318,-0.0564547866392175,0.0542746221019281,2000,-0.0824742924853695,0.0730099002359059,0.0071931527906677,-0.0021029457479354,0.0167144383627052
ds006850,bandpower_ridge_base,eeg_added_matched_calibration,8,8,-0.0135159065493521,-0.0561009082170988,0.0361546171242952,2000,-0.0912580029099898,0.0642261898112855,0.0072659697718742,-0.0025856006177084,0.0168282949285737
ds006850,bandpower_ridge_strong,eeg_added_matched_calibration,0,0,-0.0121230620898347,-0.0624699014160962,0.0442643287782352,2000,-0.066367531679535,0.0421214074998655,0.0093561504707126,0.0019733124281728,0.0169659680104484
ds006850,bandpower_ridge_strong,eeg_added_matched_calibration,0,8,-0.0161936320853189,-0.0538448648105874,0.0248287578939308,2000,-0.0704381016750192,0.0380508375043813,0.0064509026560921,-0.0007443082411367,0.0132478251912301
ds006850,bandpower_ridge_strong,eeg_added_matched_calibration,8,0,-0.0104841674348079,-0.0454093110575032,0.0317368356124574,2000,-0.0647286370245081,0.0437603021548923,0.0051064509479943,-0.0010200785441167,0.0111010027016652
ds006850,bandpower_ridge_strong,eeg_added_matched_calibration,8,8,-0.0131073228456299,-0.0397615050271107,0.019912490227515,2000,-0.0673517924353302,0.0411371467440703,0.0047280783313619,-0.0018088941582865,0.0105737542522575
ds006850,eegnet_lr1e3,eeg_added_matched_calibration,0,0,0.0101447710421182,-0.01479636453827,0.0358583585346744,2000,-0.0282865184547472,0.0485760605389838,0.00069427903077,-0.0023647644144062,0.003770076146601
ds006850,eegnet_lr1e3,eeg_added_matched_calibration,0,8,0.0168841932461025,-0.0105536602832505,0.0469222201432258,2000,-0.021547096250763,0.055315482742968,0.0001849904533462,-0.004094213256216,0.0045482929459576
ds006850,eegnet_lr1e3,eeg_added_matched_calibration,8,0,0.013795690142492,-0.0082510683702787,0.0331225711702713,2000,-0.0246355993543734,0.0522269796393575,0.0012021535741676,-0.0020748737474067,0.0045997513743765
ds006850,eegnet_lr1e3,eeg_added_matched_calibration,8,8,0.0111000959262048,-0.014686242778438,0.035981568433208,2000,-0.0273311935706606,0.0495313854230704,0.0035365287748794,-0.0020954840134814,0.0103128329354202
ds006850,eegnet_lr1e4,eeg_added_matched_calibration,0,0,0.0135866011797391,-0.0160251170235925,0.0452172883667268,2000,-0.0198026852842523,0.0469758876437307,0.0021800574989605,-0.0017749101672723,0.0064380038365626
ds006850,eegnet_lr1e4,eeg_added_matched_calibration,0,8,0.0075823253232792,-0.0069056427836485,0.0233701319562825,2000,-0.0258069611407122,0.0409716117872708,-0.0001469974342243,-0.0030048101006983,0.0024930273315709
ds006850,eegnet_lr1e4,eeg_added_matched_calibration,8,0,0.0148248150710341,-0.0101674226358066,0.0385845372514878,2000,-0.0185644713929574,0.0482141015350257,0.0021590050670106,-0.0020866648011711,0.0068665959977686
