dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,0,0,prior,-3.0732194575483232e-15,-5.35947477580551e-15,-7.86964139291136e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,prior_personalized,-3.0732194575483232e-15,-5.35947477580551e-15,-7.86964139291136e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,eeg_population,0.015759027475010824,-0.08535316423780229,0.11687121918782392,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,eeg_personalized,0.015759027475010824,-0.08535316423780229,0.11687121918782392,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,combined_population,0.01819748369989487,-0.07282159447297473,0.10921656187276449,1985,0.2201477911141821
ds005540,de_ridge_base,0,0,combined_personalized,0.01819748369989487,-0.07282159447297473,0.10921656187276449,1985,0.2201477911141821
ds005540,de_ridge_base,0,1,prior,0.3897076368081029,0.22019248269857414,0.5592227909176316,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,prior_personalized,0.3897076368081029,0.22019248269857414,0.5592227909176316,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,eeg_population,0.02535990013448732,-0.07560428876834045,0.1263240890373151,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,eeg_personalized,0.02535990013448732,-0.07560428876834045,0.1263240890373151,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,combined_population,0.3797838547972271,0.20915587188809698,0.5504118377063572,1985,0.24258470005488988
ds005540,de_ridge_base,0,1,combined_personalized,0.3797838547972271,0.20915587188809698,0.5504118377063572,1985,0.24258470005488988
ds005540,de_ridge_base,0,2,prior,0.44729263481390646,0.29792925185234065,0.5966560177754723,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,prior_personalized,0.44729263481390646,0.29792925185234065,0.5966560177754723,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,eeg_population,0.019950072383017325,-0.08156420686714841,0.12146435163318306,1985,0.22215386615243485
ds005540,de_ridge_base,0,2,eeg_personalized,0.019950072383017325,-0.08156420686714841,0.12146435163318306,1985,0.22215386615243485
