dataset_id,representation,contrast,estimate,ci_low,ci_high,valid_bootstrap
ds005540,de_ridge_base,prior_personalized_surface_auc,0.5290057492779665,0.3886905537086048,0.6693209448473283,1985
ds005540,de_ridge_base,prior_personalized_participant_change,0.20355097551998702,0.08686608804864614,0.3202358629913279,1985
ds005540,de_ridge_base,prior_personalized_stimulus_change,0.49070123722248665,0.34749131213138207,0.6339111623135912,1985
ds005540,de_ridge_base,prior_personalized_joint_change,0.6327069705104013,0.4688714910603803,0.7965424499604222,1985
ds005540,de_ridge_base,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.112671270030258,-0.01041921443388688,1985
ds005540,de_ridge_base,combined_personalized_surface_auc,0.5198725467908357,0.37862077434778607,0.6611243192338854,1985
ds005540,de_ridge_base,combined_personalized_participant_change,0.17674314892204468,0.05757153911824929,0.29591475872584005,1985
ds005540,de_ridge_base,combined_personalized_stimulus_change,0.46499537415865283,0.31453463624166134,0.6154561120756443,1985
ds005540,de_ridge_base,combined_personalized_joint_change,0.6037224135778754,0.4298713767090573,0.7775734504466935,1985
ds005540,de_ridge_base,combined_personalized_endpoint_interaction,-0.0380161095028222,-0.09780657329810483,0.021774354292460427,1985
ds005540,de_ridge_base,matched_eeg_added_surface_auc,-0.009133202487130862,-0.046060960659300286,0.02779455568503856,1985
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_ccc,-0.0068676623474821265,-0.04641970595779463,0.03268438126283037,1985
ds005540,de_ridge_base,matched_eeg_added_uniform_mean_mae,0.004673720818471574,-0.002440830239291078,0.011788271876234225,1985
ds005540,de_ridge_strong,prior_personalized_surface_auc,0.5290057492779665,0.3886905537086048,0.6693209448473283,1985
ds005540,de_ridge_strong,prior_personalized_participant_change,0.20355097551998702,0.08686608804864614,0.3202358629913279,1985
ds005540,de_ridge_strong,prior_personalized_stimulus_change,0.49070123722248665,0.34749131213138207,0.6339111623135912,1985
ds005540,de_ridge_strong,prior_personalized_joint_change,0.6327069705104013,0.4688714910603803,0.7965424499604222,1985
ds005540,de_ridge_strong,prior_personalized_endpoint_interaction,-0.06154524223207244,-0.112671270030258,-0.01041921443388688,1985
ds005540,de_ridge_strong,combined_personalized_surface_auc,0.5195866164920208,0.37905808963874754,0.660115143345294,1985
ds005540,de_ridge_strong,combined_personalized_participant_change,0.2049668720324448,0.07445348690238093,0.3354802571625086,1985
ds005540,de_ridge_strong,combined_personalized_stimulus_change,0.489746491430533,0.341597334328622,0.6378956485324441,1985
ds005540,de_ridge_strong,combined_personalized_joint_change,0.6344112494142078,0.4541118814291635,0.8147106173992521,1985
ds005540,de_ridge_strong,combined_personalized_endpoint_interaction,-0.060302114048769936,-0.12302995713915732,0.002425729041617447,1985
