dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,0,0,prior,-3.0732194575483232e-15,-5.542567952744668e-15,-6.038709623519784e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,prior_personalized,-3.0732194575483232e-15,-5.542567952744668e-15,-6.038709623519784e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,eeg_population,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,eeg_personalized,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,combined_population,0.01819748369989487,-0.0801107944375036,0.11650576183729336,1985,0.2201477911141821
ds005540,de_ridge_base,0,0,combined_personalized,0.01819748369989487,-0.0801107944375036,0.11650576183729336,1985,0.2201477911141821
ds005540,de_ridge_base,0,1,prior,0.3897076368081029,0.2066169787479025,0.5727982948683032,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,prior_personalized,0.3897076368081029,0.2066169787479025,0.5727982948683032,1985,0.23195701058201063
ds005540,de_ridge_base,0,1,eeg_population,0.02535990013448732,-0.08368993605177498,0.13440973632074962,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,eeg_personalized,0.02535990013448732,-0.08368993605177498,0.13440973632074962,1985,0.22120454659587635
ds005540,de_ridge_base,0,1,combined_population,0.3797838547972271,0.19549124781217891,0.5640764617822753,1985,0.24258470005488988
ds005540,de_ridge_base,0,1,combined_personalized,0.3797838547972271,0.19549124781217891,0.5640764617822753,1985,0.24258470005488988
ds005540,de_ridge_base,0,2,prior,0.44729263481390646,0.28596758856546856,0.6086176810623444,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,prior_personalized,0.44729263481390646,0.28596758856546856,0.6086176810623444,1985,0.1847556216931217
ds005540,de_ridge_base,0,2,eeg_population,0.019950072383017325,-0.08969390775583576,0.1295940525218704,1985,0.22215386615243485
ds005540,de_ridge_base,0,2,eeg_personalized,0.019950072383017325,-0.08969390775583576,0.1295940525218704,1985,0.22215386615243485
ds005540,de_ridge_base,0,2,combined_population,0.44072046280461485,0.2758458617041578,0.6055950639050719,1985,0.19289488400931384
ds005540,de_ridge_base,0,2,combined_personalized,0.44072046280461485,0.2758458617041578,0.6055950639050719,1985,0.19289488400931384
ds005540,de_ridge_base,0,4,prior,0.472923249015021,0.324980976673509,0.620865521356533,1985,0.16945006613756614
ds005540,de_ridge_base,0,4,prior_personalized,0.472923249015021,0.324980976673509,0.620865521356533,1985,0.16945006613756614
ds005540,de_ridge_base,0,4,eeg_population,0.024785504312946422,-0.08515787242135095,0.1347288810472438,1985,0.2209799232375293
ds005540,de_ridge_base,0,4,eeg_personalized,0.024785504312946422,-0.08515787242135095,0.1347288810472438,1985,0.2209799232375293
ds005540,de_ridge_base,0,4,combined_population,0.466511774986916,0.3088926642357397,0.6241308857380923,1985,0.1805538836988818
ds005540,de_ridge_base,0,4,combined_personalized,0.466511774986916,0.3088926642357397,0.6241308857380923,1985,0.1805538836988818
ds005540,de_ridge_base,0,8,prior,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,de_ridge_base,0,8,prior_personalized,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,de_ridge_base,0,8,eeg_population,0.02103296255292619,-0.0892187884238999,0.13128471352975227,1985,0.22084475102082296
ds005540,de_ridge_base,0,8,eeg_personalized,0.02103296255292619,-0.0892187884238999,0.13128471352975227,1985,0.22084475102082296
ds005540,de_ridge_base,0,8,combined_population,0.4831928578585477,0.3204448678235392,0.6459408478935562,1985,0.17316146304947932
ds005540,de_ridge_base,0,8,combined_personalized,0.4831928578585477,0.3204448678235392,0.6459408478935562,1985,0.17316146304947932
ds005540,de_ridge_base,1,0,prior,-3.0732194575483232e-15,-5.542567952744668e-15,-6.038709623519784e-16,1985,0.21154367944837507
ds005540,de_ridge_base,1,0,prior_personalized,0.13942400367279467,0.0029188931532936058,0.2759291141922957,1985,0.24356052006101078
ds005540,de_ridge_base,1,0,eeg_population,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
ds005540,de_ridge_base,1,0,eeg_personalized,0.12278550126788905,-0.0450360443414428,0.2906070468772209,1985,0.25563377638561596
ds005540,de_ridge_base,1,0,combined_population,0.01819748369989487,-0.0801107944375036,0.11650576183729336,1985,0.2201477911141821
ds005540,de_ridge_base,1,0,combined_personalized,0.13485561064151452,-9.259248144199983e-05,0.26980381376447105,1985,0.249447616468836
ds005540,de_ridge_base,1,1,prior,0.3897076368081029,0.2066169787479025,0.5727982948683032,1985,0.23195701058201063
ds005540,de_ridge_base,1,1,prior_personalized,0.40995118909402206,0.2426561911892487,0.5772461869987955,1985,0.2574170719213611
ds005540,de_ridge_base,1,1,eeg_population,0.02535990013448732,-0.08368993605177498,0.13440973632074962,1985,0.22120454659587635
ds005540,de_ridge_base,1,1,eeg_personalized,0.12816387005090024,-0.03819046078417718,0.2945182008859777,1985,0.25662660940521104
ds005540,de_ridge_base,1,1,combined_population,0.3797838547972271,0.19549124781217891,0.5640764617822753,1985,0.24258470005488988
ds005540,de_ridge_base,1,1,combined_personalized,0.4079607145528983,0.24060974981053043,0.5753116792952662,1985,0.26064176278493567
ds005540,de_ridge_base,1,2,prior,0.44729263481390646,0.28596758856546856,0.6086176810623444,1985,0.1847556216931217
ds005540,de_ridge_base,1,2,prior_personalized,0.45298874237330666,0.28579664351253026,0.620180841234083,1985,0.21862092411038486
ds005540,de_ridge_base,1,2,eeg_population,0.019950072383017325,-0.08969390775583576,0.1295940525218704,1985,0.22215386615243485
ds005540,de_ridge_base,1,2,eeg_personalized,0.12850547826542416,-0.038167524256963015,0.29517848078781134,1985,0.25718664144067743
ds005540,de_ridge_base,1,2,combined_population,0.44072046280461485,0.2758458617041578,0.6055950639050719,1985,0.19289488400931384
ds005540,de_ridge_base,1,2,combined_personalized,0.44906579970845,0.28423639906535736,0.6138952003515427,1985,0.22097757421902484
ds005540,de_ridge_base,1,4,prior,0.472923249015021,0.324980976673509,0.620865521356533,1985,0.16945006613756614
