protocol,comparison,ccc_delta_mean,ccc_ci_low,ccc_ci_high,ccc_sign_flip_p,mae_delta_mean,mae_ci_low,mae_ci_high,mae_sign_flip_p,source_asset,source_sha256
subject_stimulus_holdout,de_vs_cbramod,-0.0103948593603,-0.0686667862818,0.0505975144476,0.6875,0.0065957286695,-0.00491064436991,0.0195712413198,0.125,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_stimulus_holdout,de_vs_labram_pretrained,-0.00422545780562,-0.067499284871,0.0580181391243,0.8125,0.00520774928414,-0.00773935568824,0.0184497393186,0.1875,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_stimulus_holdout,de_vs_labram_random,-0.00500809059516,-0.0736259489445,0.0597324848862,0.9375,0.00421385809012,-0.00693345634316,0.0166461183319,0.375,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_stimulus_holdout,labram_pretrained_vs_labram_random,-0.000782632789543,-0.0425026791294,0.0526248627286,0.9375,-0.000993891194024,-0.00840631300886,0.00699024489466,0.1875,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
imagery_to_video,cbramod_vs_labram_pretrained,-0.0174506224312,-0.0437862328671,0.0117897412362,0.25,0.00226773748461,-0.00341929212659,0.00984841268723,0.375,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
imagery_to_video,cbramod_vs_labram_random,-0.0192831045615,-0.0466650743286,0.0123198992398,0.3125,0.00504815189856,-0.00175263814471,0.0124881793106,0.25,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
imagery_to_video,de_vs_cbramod,0.0535280999759,0.00940694592678,0.0831197404268,0.0625,-0.00902462099299,-0.018405596836,-0.000735646749333,0.0625,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
imagery_to_video,de_vs_labram_pretrained,0.0360774775447,0.0025786498617,0.0606391454161,0.0625,-0.00675688350838,-0.013438003152,-0.000800802909908,0.0625,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
imagery_to_video,de_vs_labram_random,0.0342449954144,0.000482310253181,0.0580186298761,0.125,-0.00397646909443,-0.0122630867937,0.00339126483287,0.375,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
imagery_to_video,labram_pretrained_vs_labram_random,-0.00183248213025,-0.0189003370211,0.0171176305406,0.8125,0.00278041441395,-0.00152174632624,0.00754448585979,0.1875,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,cbramod_vs_labram_pretrained,-0.00365485741272,-0.0368225104888,0.036879667072,0.8125,0.00163878586924,-0.0047940423138,0.00897596625916,0.6875,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,cbramod_vs_labram_random,-0.00640235522108,-0.0300248776718,0.0261265204469,0.5625,0.00221213181997,-0.00416246109941,0.00920535596134,0.375,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,de_vs_cbramod,0.0441158196961,-0.000417562033089,0.0715608494288,0.0625,-0.00276460477693,-0.0133535367616,0.00620696410582,0.5,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,de_vs_labram_pretrained,0.0404609622834,-0.0141996520916,0.0843813439884,0.1875,-0.0011258189077,-0.0105918993554,0.00950780288912,0.8125,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,de_vs_labram_random,0.037713464475,-0.00713454285129,0.0749107050455,0.125,-0.00055247295696,-0.00927160496121,0.0080780138049,0.8125,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
video_to_imagery,labram_pretrained_vs_labram_random,-0.00274749780836,-0.0255062597804,0.0205667277257,0.8125,0.000573345950737,-0.00314172640354,0.00468536347444,0.875,representation_statistics_context,e61089e13b36dc63f6a9ff38302b3745731ba565a09bd51dc887173dd7e29297
