dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,labram_lastblock_residual,0,0,prior,-3.1371457512425937e-15,-5.6162266299859795e-15,-6.580648724992078e-16,1985,0.21154367944837507
ds005540,labram_lastblock_residual,0,0,prior_personalized,-3.1371457512425937e-15,-5.6162266299859795e-15,-6.580648724992078e-16,1985,0.21154367944837507
ds005540,labram_lastblock_residual,0,0,eeg_population,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,0,0,eeg_personalized,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,0,0,combined_population,0.014443673767951238,-0.1180955840644873,0.14698293160038978,1985,0.2379875138816589
ds005540,labram_lastblock_residual,0,0,combined_personalized,0.014443673767951238,-0.1180955840644873,0.14698293160038978,1985,0.2379875138816589
ds005540,labram_lastblock_residual,0,8,prior,0.49070123722248377,0.34749131213137907,0.6339111623135885,1985,0.16290261243386245
ds005540,labram_lastblock_residual,0,8,prior_personalized,0.49070123722248377,0.34749131213137907,0.6339111623135885,1985,0.16290261243386245
ds005540,labram_lastblock_residual,0,8,eeg_population,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,0,8,eeg_personalized,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,0,8,combined_population,0.45596248851811694,0.2896686041563338,0.6222563728799001,1985,0.18418920318664064
ds005540,labram_lastblock_residual,0,8,combined_personalized,0.45596248851811694,0.2896686041563338,0.6222563728799001,1985,0.18418920318664064
ds005540,labram_lastblock_residual,8,0,prior,-3.1371457512425937e-15,-5.6162266299859795e-15,-6.580648724992078e-16,1985,0.21154367944837507
ds005540,labram_lastblock_residual,8,0,prior_personalized,0.20355097551998397,0.086866088048643,0.32023586299132495,1985,0.19155023578113023
ds005540,labram_lastblock_residual,8,0,eeg_population,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,8,0,eeg_personalized,0.1822553830951053,0.06223264719426795,0.30227811899594265,1985,0.19623652447089943
ds005540,labram_lastblock_residual,8,0,combined_population,0.014443673767951238,-0.1180955840644873,0.14698293160038978,1985,0.2379875138816589
ds005540,labram_lastblock_residual,8,0,combined_personalized,0.19836842531084473,0.04320431191250518,0.3535325387091843,1985,0.20687435957682987
ds005540,labram_lastblock_residual,8,8,prior,0.49070123722248377,0.34749131213137907,0.6339111623135885,1985,0.16290261243386245
ds005540,labram_lastblock_residual,8,8,prior_personalized,0.6327069705103981,0.4688714910603772,0.7965424499604191,1985,0.14507685223131764
ds005540,labram_lastblock_residual,8,8,eeg_population,0.0,0.0,0.0,1985,0.5054920634920634
ds005540,labram_lastblock_residual,8,8,eeg_personalized,0.1822553830951053,0.06223264719426795,0.30227811899594265,1985,0.19623652447089943
ds005540,labram_lastblock_residual,8,8,combined_population,0.45596248851811694,0.2896686041563338,0.6222563728799001,1985,0.18418920318664064
ds005540,labram_lastblock_residual,8,8,combined_personalized,0.614006860325659,0.44707530866509193,0.780938411986226,1985,0.1578260989885062
ds006850,labram_lastblock_residual,0,0,prior,-6.635784198480622e-16,-6.791374144327373e-15,5.4642173046312485e-15,2000,0.20432291577740386
ds006850,labram_lastblock_residual,0,0,prior_personalized,-6.635784198480622e-16,-6.791374144327373e-15,5.4642173046312485e-15,2000,0.20432291577740386
ds006850,labram_lastblock_residual,0,0,eeg_population,0.0,0.0,0.0,2000,0.5068327505827507
ds006850,labram_lastblock_residual,0,0,eeg_personalized,0.0,0.0,0.0,2000,0.5068327505827507
ds006850,labram_lastblock_residual,0,0,combined_population,-0.035469195592188196,-0.14230314489047524,0.07136475370609885,2000,0.2407578190108201
ds006850,labram_lastblock_residual,0,0,combined_personalized,-0.035469195592188196,-0.14230314489047524,0.07136475370609885,2000,0.2407578190108201
ds006850,labram_lastblock_residual,0,8,prior,0.34077330322157423,0.18539110531081307,0.4961555011323354,2000,0.18296729312354318
ds006850,labram_lastblock_residual,0,8,prior_personalized,0.34077330322157423,0.18539110531081307,0.4961555011323354,2000,0.18296729312354318
ds006850,labram_lastblock_residual,0,8,eeg_population,0.0,0.0,0.0,2000,0.5068327505827507
ds006850,labram_lastblock_residual,0,8,eeg_personalized,0.0,0.0,0.0,2000,0.5068327505827507
ds006850,labram_lastblock_residual,0,8,combined_population,0.26427508211625134,0.1209478400083411,0.40760232422416154,2000,0.23521878635966695
ds006850,labram_lastblock_residual,0,8,combined_personalized,0.26427508211625134,0.1209478400083411,0.40760232422416154,2000,0.23521878635966695
ds006850,labram_lastblock_residual,8,0,prior,-6.635784198480622e-16,-6.791374144327373e-15,5.4642173046312485e-15,2000,0.20432291577740386
ds006850,labram_lastblock_residual,8,0,prior_personalized,0.15644082287591965,0.022793951448299654,0.29008769430353964,2000,0.20188437258509112
ds006850,labram_lastblock_residual,8,0,eeg_population,0.0,0.0,0.0,2000,0.5068327505827507
